siteID,climID,siteType,SWinit,GWinit,SOGinit,Sinit,nLayers,nSpecies,soildepth,effective field capacity,permanent wilting point
JO101,1,3,160,0,0,20,6,2,413,0.45,0.118
JO124,2,3,160,0,0,20,6,2,413,0.45,0.118
JO135,3,3,160,0,0,20,7,2,413,0.45,0.118
JO144,4,3,160,0,0,20,6,2,413,0.45,0.118
PA06B,5,3,160,0,0,20,8,2,413,0.45,0.118
PA121,6,3,160,0,0,20,10,2,413,0.45,0.118
PA123,7,3,160,0,0,20,8,2,413,0.45,0.118
PA131,8,3,160,0,0,20,10,2,413,0.45,0.118
PA132,9,3,160,0,0,20,10,2,413,0.45,0.118
PA6,10,3,160,0,0,20,7,2,413,0.45,0.118
PA61,11,3,160,0,0,20,7,2,413,0.45,0.118
PA62,12,3,160,0,0,20,7,2,413,0.45,0.118
PA63,13,3,160,0,0,20,5,2,413,0.45,0.118
PA67,14,3,160,0,0,20,7,2,413,0.45,0.118
PA7,15,3,160,0,0,20,10,2,413,0.45,0.118
PA8,16,3,160,0,0,20,6,2,413,0.45,0.118
VA101,17,2,160,0,0,20,10,2,413,0.45,0.118
VA109,18,3,160,0,0,20,6,2,413,0.45,0.118
VA112,19,3,160,0,0,20,9,2,413,0.45,0.118
VA207,20,3,160,0,0,20,9,2,413,0.45,0.118
VA209,21,3,160,0,0,20,8,2,413,0.45,0.118
VA210,22,2,160,0,0,20,8,2,413,0.45,0.118
VA211,23,3,160,0,0,20,11,2,413,0.45,0.118
VA222,24,3,160,0,0,20,9,2,413,0.45,0.118
VA228,25,3,160,0,0,20,5,2,413,0.45,0.118
VA401,26,3,160,0,0,20,5,2,413,0.45,0.118
VA403,27,3,160,0,0,20,8,2,413,0.45,0.118
